60,식중독,의식이 혼미해서 혼자 있기가 무서워요  
61,식중독,계속 토하니까 너무 지쳐요  
62,식중독,설사 때문에 화장실에서 나올 수가 없어요  
63,식중독,열이 나서 머리가 아파요  
64,식중독,손발이 마비돼서 제대로 움직일 수가 없어요  
65,식중독,근육 경련으로 인해 잠을 잘 수가 없어요  
66,식중독,의식이 흐려져서 자꾸 깨어나기가 힘들어요  
67,식중독,구토 때문에 속이 너무 아파요  
68,식중독,설사가 멈추질 않아서 계속 화장실에 있어요  
69,식중독,열이 나서 몸이 너무 힘들어요  
70,식중독,신경이 마비돼서 손가락이 움직이지 않아요  
71,식중독,근육 경련 때문에 다리를 움직일 수가 없어요  
72,식중독,의식이 혼미해서 정신을 차릴 수가 없어요  
73,식중독,구토 때문에 잠을 잘 수가 없어요  
74,식중독,설사로 인해 배가 너무 아파요  
75,식중독,열이 나서 몸이 너무 뜨거워요  
76,식중독,신경이 마비돼서 손발이 저려요  
77,식중독,근육 경련으로 인해 움직이기가 힘들어요  
78,식중독,의식이 흐려져서 일어나기가 힘들어요  
79,식중독,구토가 심해서 아무것도 먹지 못해요  
80,식중독,설사로 인해 배가 너무 아파요  
81,식중독,열이 나서 몸이 축 처져요  
82,식중독,손발이 마비돼서 걷기가 힘들어요  
83,식중독,근육 경련 때문에 다리가 아파요  
84,식중독,의식이 혼미해서 정신을 차릴 수가 없어요  
85,식중독,구토 때문에 잠을 잘 수가 없어요  
86,식중독,설사로 인해 화장실을 떠날 수가 없어요  
87,식중독,열이 나서 몸이 너무 뜨거워요  
88,식중독,신경이 마비돼서 손발이 저려요  
89,식중독,근육 경련 때문에 움직이기가 힘들어요  
90,식중독,의식이 흐려져서 일어나기가 힘들어요  
91,식중독,구토 때문에 속이 너무 아파요  
92,식중독,설사가 멈추질 않아서 계속 화장실에 있어요  
93,식중독,열이 나서 몸이 너무 힘들어요  
94,식중독,신경이 마비돼서 손가락이 움직이지 않아요  
95,식중독,근육 경련 때문에 다리를 움직일 수가 없어요  
96,식중독,의식이 혼미해서 정신을 차릴 수가 없어요  
97,식중독,계속 구토를 해서 너무 힘들어요  
98,식중독,설사 때문에 몸이 너무 지쳤어요  
99,식중독,열이 나서 땀이 비 오듯이 쏟아져요  
100,식중독,신경이 마비돼서 손발이 저려요  
